39, -60.811634 5.679134 4.195949 2.52921 1.286993 1.28879 -0.128661 1.020562 -0.87887 0.769716 -1.037899 0.681588 -0.641535 0.721886 -0.27643 0.583767 -0.308211 0.365506 -0.20961 0.26542 -0.005659 0.271961 0.124076 0.276564;
40, -61.221916 5.869373 3.619704 2.591013 0.733753 1.028721 0.018805 0.951762 -0.58276 0.82199 -0.725755 0.670385 -0.339079 0.578245 -0.053238 0.483157 -0.152556 0.425179 -0.151659 0.317163 -0.040986 0.257875 0.067846 0.246863;
41, -64.746162 3.711234 1.727102 1.62855 0.57263 0.691005 0.143014 0.411733 -0.299547 0.605644 -0.360634 0.607311 -0.161038 0.472279 -0.117307 0.420168 -0.143625 0.301344 -0.118882 0.239605 -0.073914 0.173382 -0.02119 0.177902;
42, -65.531273 3.776449 1.40803 1.934171 0.489391 0.559478 0.180844 0.467488 -0.12717 0.603161 -0.313767 0.634954 -0.228602 0.422521 -0.145222 0.251946 -0.159658 0.269606 -0.124774 0.210248 -0.049507 0.134571 -0.013064 0.10577;
43, -62.592678 4.825614 2.907997 2.098681 0.487367 0.858184 -0.166385 1.033314 -0.460821 0.596033 -0.396453 0.653759 -0.154157 0.491743 -0.188423 0.426448 -0.343506 0.344792 -0.262469 0.327596 -0.081119 0.234892 0.100627 0.263102;
44, -57.792683 14.407481 3.453536 4.282618 0.02752 1.306488 -0.805282 1.583291 -0.492936 0.772561 -0.229935 0.470559 -0.018279 0.32248 -0.040462 0.264619 -0.148288 0.377472 0.147337 0.286098 0.027218 0.249121 0.139452 0.250137;
45, -64.367851 3.584242 2.056381 1.983882 0.11841 0.705861 -0.628807 0.994231 -0.500505 0.592551 -0.13171 0.40267 0.11088 0.325953 0.048619 0.267736 -0.069395 0.286294 -0.020377 0.248928 0.029943 0.239132 0.001351 0.197054;
46, -65.274803 3.610488 1.436538 1.800467 0.132255 0.467027 -0.413959 0.834665 -0.347192 0.640787 -0.077354 0.289994 0.015781 0.307534 -0.096249 0.220126 -0.207825 0.334908 -0.160662 0.351149 -0.043954 0.154972 0.057356 0.147685;
47, -64.884026 6.755892 1.110473 1.629952 0.138568 0.711602 0.325462 0.432521 0.076953 0.47532 -0.05823 0.272282 -0.161378 0.363537 -0.050343 0.152479 0.021535 0.27549 -0.038931 0.109946 -0.088867 0.166978 -0.063964 0.108564;
48, -65.09877 3.797056 1.410502 1.542389 0.320864 0.550139 0.265333 0.889977 -0.024881 0.556665 -0.150414 0.426102 0.017986 0.280678 0.022925 0.228989 -0.083823 0.216757 -0.086168 0.224202 0.002337 0.164168 0.043272 0.164152;
49, -63.361942 3.417129 1.713189 1.248513 -0.774686 1.043294 -0.609526 0.762301 -0.461609 0.567773 0.066655 0.32369 0.355986 0.330173 -0.093025 0.318572 -0.247398 0.258168 -0.080548 0.204568 0.054456 0.181704 0.194311 0.229691;
50, -55.560181 14.225236 3.678626 3.160637 -0.97113 1.547825 -0.535634 1.387282 -0.498467 0.78993 0.016375 0.807461 0.406545 0.570411 0.175183 0.452384 -0.327504 0.424927 -0.27282 0.415978 -0.03025 0.287608 0.203672 0.282154;
51, -58.948292 7.669501 4.468631 2.948816 -0.484413 1.397868 -1.195582 1.339296 -0.849455 0.834824 -0.432669 0.563036 -0.042362 0.437027 0.009519 0.498528 -0.237409 0.404242 -0.204055 0.341824 0.038378 0.295417 0.121125 0.289318;
